id,title,description,availability,condition,price,sale_price,link,image_link,additional_image_link,brand,product_type,inventory
mw-001,MUSE Oversized Heavy Tee - Black,"MUSE Oversized Heavy Tee - Black - MUSE WEAR T-Shirts. Ships across Egypt, 14-day returns.",in stock,new,1199.00 EGP,899.00 EGP,https://muse-wear.pages.dev/product/mw-001,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=600&auto=format&fit=crop&q=60,,MUSE WEAR,men > T-Shirts,100
mw-002,MUSE Tailored Cargo Pants,"MUSE Tailored Cargo Pants - MUSE WEAR Pants. Ships across Egypt, 14-day returns.",in stock,new,1499.00 EGP,,https://muse-wear.pages.dev/product/mw-002,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=600&auto=format&fit=crop&q=60,,MUSE WEAR,men > Pants,100
mw-003,Satin Wrap Dress - Emerald,"Satin Wrap Dress - Emerald - MUSE WEAR Dresses. Ships across Egypt, 14-day returns.",in stock,new,2499.00 EGP,1899.00 EGP,https://muse-wear.pages.dev/product/mw-003,https://images.unsplash.com/photo-1515372039744-f1fd71e2d06a?w=600&auto=format&fit=crop&q=60,,MUSE WEAR,women > Dresses,100
mw-004,Cropped Bomber Jacket,"Cropped Bomber Jacket - MUSE WEAR Jackets. Ships across Egypt, 14-day returns.",in stock,new,2199.00 EGP,,https://muse-wear.pages.dev/product/mw-004,https://images.unsplash.com/photo-1550928431-ee0ec6db30d3?w=600&auto=format&fit=crop&q=60,,MUSE WEAR,women > Jackets,100
br-001,Nike Air Max 270 - White/Black,"Nike Air Max 270 - White/Black - Nike Shoes. Ships across Egypt, 14-day returns.",in stock,new,5499.00 EGP,4299.00 EGP,https://muse-wear.pages.dev/product/br-001,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=600&auto=format&fit=crop&q=60,,Nike,men > Shoes,100
br-002,Adidas Originals Hoodie,"Adidas Originals Hoodie - Adidas Hoodies. Ships across Egypt, 14-day returns.",in stock,new,1799.00 EGP,,https://muse-wear.pages.dev/product/br-002,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=600&auto=format&fit=crop&q=60,,Adidas,women > Hoodies,100
acc-001,MUSE Leather Crossbody Bag,"MUSE Leather Crossbody Bag - MUSE WEAR Bags. Ships across Egypt, 14-day returns.",in stock,new,1299.00 EGP,,https://muse-wear.pages.dev/product/acc-001,https://images.unsplash.com/photo-1584917865442-de89df76afd3?w=600&auto=format&fit=crop&q=60,,MUSE WEAR,accessories > Bags,100
acc-002,Chunky Gold Hoops Set,"Chunky Gold Hoops Set - MUSE WEAR Jewelry. Ships across Egypt, 14-day returns.",in stock,new,699.00 EGP,499.00 EGP,https://muse-wear.pages.dev/product/acc-002,https://images.unsplash.com/photo-1611652022419-a9419f74343d?w=600&auto=format&fit=crop&q=60,,MUSE WEAR,accessories > Jewelry,100
br-003,Puma RS-X - Multicolor,"Puma RS-X - Multicolor - Puma Shoes. Ships across Egypt, 14-day returns.",in stock,new,3599.00 EGP,,https://muse-wear.pages.dev/product/br-003,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=600&auto=format&fit=crop&q=60,,Puma,men > Shoes,100
mw-005,MUSE Linen Co-ord Set - Sand,"MUSE Linen Co-ord Set - Sand - MUSE WEAR Co-ords. Ships across Egypt, 14-day returns.",in stock,new,2499.00 EGP,,https://muse-wear.pages.dev/product/mw-005,https://images.unsplash.com/photo-1487412720507-e7ab37603c6f?w=600&auto=format&fit=crop&q=60,,MUSE WEAR,women > Co-ords,100
acc-003,Unisex Cap - MW Embroidery,"Unisex Cap - MW Embroidery - MUSE WEAR Caps. Ships across Egypt, 14-day returns.",in stock,new,399.00 EGP,,https://muse-wear.pages.dev/product/acc-003,https://images.unsplash.com/photo-1588850561407-ed78c282e89b?w=600&auto=format&fit=crop&q=60,,MUSE WEAR,accessories > Caps,100
br-004,Levi's 501 Straight Jeans,"Levi's 501 Straight Jeans - Levi's Jeans. Ships across Egypt, 14-day returns.",in stock,new,1999.00 EGP,,https://muse-wear.pages.dev/product/br-004,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=600&auto=format&fit=crop&q=60,,Levi's,men > Jeans,100
